Date,Forecast,Lower_Bound,Upper_Bound
2025-09-19,446.1529112249913,429.47489214848815,465.0146540994657
2025-09-20,446.4081802091285,427.8750052049894,464.76015360846026
2025-09-21,446.4654313608563,428.18966739765807,463.67007216778234
2025-09-22,446.3557707513127,428.049818300812,464.7963460524391
2025-09-23,446.33403470178575,430.1184914939049,464.6704929257079
2025-09-24,446.4475136550742,428.5044710750057,463.8598634022037
2025-09-25,446.49559974807676,429.1940805861307,464.88875621595093
2025-09-26,446.59781110637175,429.4773399184616,465.62017606030236
2025-09-27,446.87533355038335,428.6252259039827,465.60638953630354
2025-09-28,446.9554787910658,428.9729582872451,465.62670706936956
2025-09-29,446.86935160778376,428.8600138060678,465.566145582747
2025-09-30,446.87184941867434,427.108726175306,465.50869343973227
2025-10-01,447.0103797815767,429.19645118964456,465.75729981937167
2025-10-02,447.08449935142886,429.03464084200925,465.3228383182567
2025-10-03,447.21392762620513,430.34535582441293,464.98266876634233
2025-10-04,447.52007654196217,429.63581015818045,463.68927534923125
2025-10-05,447.63049541388517,430.24601032244954,465.71722381321865
2025-10-06,447.57652416994597,429.4145548571712,465.50889887892566
2025-10-07,447.6132787623932,430.5939686948877,466.50910308918935
2025-10-08,447.7883547765517,429.8141232377592,465.2145322861856
2025-10-09,447.9014532359809,429.47495790720353,466.3548770766245
2025-10-10,448.07238238668356,430.784256595725,463.78808797498084
2025-10-11,448.4225769352935,430.41547408581005,466.259101511362
2025-10-12,448.57953460379593,430.112567382507,467.09754531211803
2025-10-13,448.5744632533013,429.1352268396178,466.7692744941597
2025-10-14,448.6622626989983,430.14921017011227,465.98801009869646
2025-10-15,448.89022739653234,432.14946954436004,466.37127052721195
2025-10-16,449.05767407858013,431.0465510564608,466.4405549023326
2025-10-17,449.2839481204669,431.35085082413195,465.7882850656795
2025-10-18,449.6899500223201,431.9645580996407,466.8585120321576
2025-10-19,449.90258170170887,431.3859024758461,467.6367692118747
2025-10-20,449.9524056042962,432.47334782774965,468.7522217849117
2025-10-21,450.0936404402709,432.3499331153865,468.9023208225855
2025-10-22,450.37287935213334,431.9528088565323,469.730739775643
2025-10-23,450.5887341684036,432.5320561273954,468.0271304666145
2025-10-24,450.8598590605795,433.69072940841977,469.73957191842516
2025-10-25,451.306494505309,432.20668827095193,470.50603132082995
2025-10-26,451.5549307501554,433.9649216694957,470.4998637109597
2025-10-27,451.6351832991516,434.61130228070687,469.29539093968765
2025-10-28,451.8010037528986,432.61158436256295,468.8402240492144
2025-10-29,452.09861136775487,433.38076609740784,470.4101948212462
2025-10-30,452.3263485922479,434.03528615647616,470.18594750988746
2025-10-31,452.60271355759,434.4435774063674,470.7417756638479
2025-11-01,453.04791014960784,436.25000906606545,471.13512926041966
2025-11-02,453.2883146594707,434.80564478183294,470.7000706226597
2025-11-03,453.3541514078836,435.5668632879109,471.9202191343135
2025-11-04,453.49950063901605,436.4213037278281,471.6843040905322
2025-11-05,453.7710240944253,436.7730084416297,472.8152933280807
2025-11-06,453.9676116538921,435.34806813043707,472.1682617868402
2025-11-07,454.2084022283967,436.1612634137294,470.79412527229965
2025-11-08,454.61431981474436,436.61448202594534,471.80981001232135
2025-11-09,454.81252405754344,436.63310368985407,472.87726623449527
2025-11-10,454.8340681180329,436.07081451898017,473.4696835763431
2025-11-11,454.93388759634865,437.1860089007179,474.35833932682743
2025-11-12,455.1595064008602,437.0146506180851,472.15773715886877
2025-11-13,455.3106634548917,438.5374053519508,473.5422248990044
2025-11-14,455.5073139356567,436.28799940307664,473.2003731039522
2025-11-15,455.8711464570934,437.2047209683671,474.93809993743093
2025-11-16,456.0300160234593,439.1569976579468,473.95503010961204
2025-11-17,456.0155860005738,438.701683792996,474.60989323271804
2025-11-18,456.08330325304553,436.99953525405937,474.09408204564767
2025-11-19,456.28109268677605,438.0967989534782,475.1192985736488
2025-11-20,456.4089753676947,437.74055770647004,474.5928412774347
2025-11-21,456.58706412018523,439.5415626774477,474.62092498234733
2025-11-22,456.9370781484332,439.38908785281865,474.7949905799115
2025-11-23,457.086776559164,438.7170552044605,475.30861285665117
2025-11-24,457.0676040035852,439.1223883583242,475.3323899052955
2025-11-25,457.1346724786466,439.05914043946694,476.2526112970467
2025-11-26,457.33546534311137,439.7177023071838,474.7787491444508
2025-11-27,457.4694674656045,439.4335557679437,474.8064433877037
2025-11-28,457.6561750917823,438.75312872338986,475.4240900498512
2025-11-29,458.0166266039258,440.7384344568868,476.0626856968683
2025-11-30,458.1778536382815,438.586039492595,476.15502909685114
2025-12-01,458.1705453328141,440.40291891248654,475.5894209831448
2025-12-02,458.2490492804433,439.9524422446562,476.70060159054384
2025-12-03,458.4600947705636,440.5985712474959,476.0762627405868
2025-12-04,458.60244176804537,440.0572758843987,476.7277784407415
2025-12-05,458.79490876561624,442.18449239174083,476.9326581310922
2025-12-06,459.1579202597037,440.49257818079417,476.6989661121614
2025-12-07,459.3179729301923,441.3228440039434,477.95321942538914
2025-12-08,459.30531295944445,440.2469917707593,475.2047049256634
2025-12-09,459.3739477834189,441.460049478442,475.9246209166411
2025-12-10,459.57037763666904,443.15022410970647,477.11421603721584
2025-12-11,459.693250184785,441.57762845303637,477.0350335652705
2025-12-12,459.8613912923474,441.97142605799036,478.3170686364885
2025-12-13,460.19535265698113,442.66820793681484,478.54185359150154
2025-12-14,460.3218754374843,442.0713431211979,478.78332547033176
2025-12-15,460.27156242285923,442.84432017041235,479.2239864669608
2025-12-16,460.2988822058226,441.688728621894,477.93641665673937
2025-12-17,460.4508909464801,443.6085682555621,478.0330552224988
